vehicleid,entertime,exittime
113910,6/1/2023 9:04,6/1/2023 9:06
113910,6/1/2023 9:16,6/7/2023 20:35
52036,6/1/2023 10:00,6/1/2023 10:01
52036,6/1/2023 10:02,6/5/2023 18:40
115406,6/1/2023 14:56,6/1/2023 14:56
115406,6/1/2023 14:56,6/7/2023 9:16
45796,6/2/2023 11:03,6/6/2023 16:53
114361,6/6/2023 8:57,6/6/2023 8:59
114361,6/6/2023 9:00,6/6/2023 9:01
114361,6/6/2023 9:03,6/6/2023 9:03
52341,6/6/2023 10:15,6/6/2023 15:12
114362,6/7/2023 10:32,6/7/2023 10:33
114361,6/7/2023 11:49,6/7/2023 12:17
51021,6/7/2023 15:49,6/7/2023 15:50
116109,6/7/2023 16:17,6/7/2023 16:17
114362,6/8/2023 8:04,6/8/2023 17:01
52341,6/8/2023 8:22,6/8/2023 16:35
113910,6/8/2023 9:14,6/8/2023 17:26
116109,6/8/2023 9:56,6/8/2023 10:00
45796,6/8/2023 12:40,6/8/2023 12:41
51021,6/8/2023 15:58,6/8/2023 16:00
116109,6/8/2023 16:14,6/8/2023 16:22
116109,6/8/2023 16:23,6/8/2023 16:24
113910,6/9/2023 8:07,6/9/2023 15:18
52341,6/9/2023 9:11,6/9/2023 9:12
52341,6/9/2023 9:16,6/9/2023 9:16
116109,6/9/2023 9:38,6/9/2023 9:41
114361,6/9/2023 9:42,6/9/2023 9:47
114362,6/9/2023 10:43,6/9/2023 10:44
51021,6/9/2023 12:53,6/9/2023 12:53
51021,6/9/2023 13:05,6/9/2023 13:05
51021,6/9/2023 13:08,6/9/2023 13:09
114362,6/9/2023 15:14,6/9/2023 15:14
51021,6/9/2023 15:23,6/9/2023 15:25
113910,6/9/2023 15:23,6/9/2023 16:58
116109,6/9/2023 16:00,6/9/2023 16:00
116109,6/9/2023 16:05,6/9/2023 16:05
115406,6/12/2023 11:35,6/12/2023 11:36
115406,6/12/2023 11:36,6/14/2023 11:34
52036,6/12/2023 14:56,6/13/2023 16:14
51021,6/12/2023 15:59,6/12/2023 16:01
114362,6/13/2023 10:36,6/13/2023 10:36
51301,6/13/2023 12:29,6/13/2023 12:30
113910,6/13/2023 12:53,6/13/2023 15:44
52341,6/13/2023 15:15,6/13/2023 15:15
51021,6/13/2023 16:01,6/13/2023 16:06
52036,6/13/2023 16:35,6/13/2023 16:35
113910,6/14/2023 8:47,6/20/2023 12:15
52341,6/14/2023 12:04,6/14/2023 12:04
45796,6/14/2023 13:15,6/14/2023 13:15
45796,6/14/2023 13:48,6/15/2023 10:08
51301,6/14/2023 15:32,6/14/2023 15:33
51021,6/14/2023 15:53,6/14/2023 15:53
52036,6/15/2023 7:58,6/15/2023 18:12
45796,6/15/2023 10:14,6/15/2023 10:15
45796,6/15/2023 10:48,6/15/2023 10:58
45796,6/15/2023 12:14,6/16/2023 16:18
114362,6/15/2023 12:51,6/21/2023 13:17
52341,6/15/2023 12:57,6/15/2023 14:53
51021,6/15/2023 13:10,6/15/2023 13:10
51021,6/15/2023 15:35,6/15/2023 15:35
115406,6/15/2023 15:51,6/15/2023 15:51
115406,6/15/2023 15:51,6/15/2023 15:51
115406,6/15/2023 15:51,6/21/2023 16:28
52036,6/16/2023 9:31,6/22/2023 10:59
24299,6/16/2023 13:56,6/28/2023 20:36
52341,6/16/2023 15:19,6/16/2023 15:19
52341,6/16/2023 15:22,6/16/2023 15:22
45796,6/16/2023 16:20,6/16/2023 16:21
114361,6/19/2023 11:28,6/19/2023 15:32
116109,6/19/2023 15:35,6/19/2023 16:25
114361,6/20/2023 7:41,6/20/2023 12:19
114361,6/20/2023 12:30,6/20/2023 15:12
113910,6/20/2023 12:59,6/20/2023 17:14
51021,6/20/2023 13:18,6/20/2023 13:18
51021,6/20/2023 13:37,6/20/2023 13:37
51021,6/20/2023 13:41,6/20/2023 13:42
114361,6/21/2023 7:48,6/21/2023 11:18
113910,6/21/2023 9:23,6/21/2023 10:20
113910,6/21/2023 11:33,6/21/2023 16:12
114362,6/21/2023 13:46,6/23/2023 12:02
52219,6/22/2023 7:32,6/26/2023 13:18
114361,6/22/2023 8:18,6/23/2023 10:58
113910,6/22/2023 11:15,6/22/2023 15:15
52036,6/22/2023 15:28,6/23/2023 11:11
51021,6/22/2023 16:09,6/22/2023 16:10
116109,6/22/2023 16:28,6/22/2023 16:40
52341,6/23/2023 8:37,6/23/2023 8:38
51021,6/23/2023 13:32,6/23/2023 13:32
51021,6/23/2023 13:37,6/23/2023 13:38
52036,6/23/2023 15:50,6/26/2023 9:35
52036,6/26/2023 9:36,6/27/2023 11:03
114361,6/26/2023 10:58,6/26/2023 10:58
114361,6/26/2023 10:59,6/26/2023 16:39
52219,6/26/2023 15:34,6/26/2023 15:37
52219,6/26/2023 15:41,6/26/2023 15:41
52341,6/26/2023 16:02,6/26/2023 16:02
115406,6/26/2023 16:34,6/26/2023 16:35
115406,6/26/2023 16:35,6/27/2023 9:14
52036,6/27/2023 11:49,6/27/2023 12:04
52036,6/27/2023 12:21,6/28/2023 12:12
116109,6/27/2023 12:55,6/27/2023 12:55
116109,6/27/2023 13:04,6/27/2023 13:04
116109,6/27/2023 15:20,6/27/2023 15:59
114361,6/28/2023 9:03,6/29/2023 11:13
52036,6/28/2023 12:59,6/28/2023 19:35
114362,6/29/2023 7:39,6/29/2023 21:58
114361,6/29/2023 11:14,6/29/2023 11:14
115406,6/29/2023 14:59,6/29/2023 15:00
24299,6/29/2023 15:43,6/30/2023 9:14
114361,6/29/2023 16:48,6/29/2023 16:48
114361,6/30/2023 8:14,6/30/2023 9:31
24299,6/30/2023 9:14,6/30/2023 9:35
114361,6/30/2023 9:31,6/30/2023 11:27
116109,6/30/2023 9:58,6/30/2023 10:11
116109,6/30/2023 10:19,6/30/2023 10:20
114361,6/30/2023 11:27,6/30/2023 11:37
114361,6/30/2023 11:38,6/30/2023 13:10
45796,6/30/2023 14:29,6/30/2023 14:29
24299,6/30/2023 15:57,6/30/2023 15:58
24299,6/30/2023 16:00,6/30/2023 16:01
24299,6/30/2023 16:01,6/30/2023 16:13
